Word,appearsInR,In R,appearsInPG,In PG,Difference
bought,259,50%,151,45%,4%
ringing,259,50%,151,45%,4%
roach,37,7%,9,3%,4%
anywhere,309,60%,183,55%,4%
squeezes,248,48%,144,43%,4%
believable,26,5%,2,1%,4%
loud,434,84%,263,79%,4%
laying,187,36%,105,32%,4%
wipes,348,67%,208,63%,4%
mumbles,101,19%,50,15%,4%
stood,151,29%,82,25%,4%
shits,40,8%,11,3%,4%
turf,40,8%,11,3%,4%
registered,65,13%,27,8%,4%
squints,190,37%,107,32%,4%
whites,79,15%,36,11%,4%
accident,240,46%,139,42%,4%
derelict,43,8%,13,4%,4%
gangster,43,8%,13,4%,4%
medic,43,8%,13,4%,4%
honey,315,61%,187,56%,4%
cellular,68,13%,29,9%,4%
workin,68,13%,29,9%,4%
crouches,168,32%,93,28%,4%
jerk,168,32%,93,28%,4%
9mm,46,9%,15,5%,4%
laughs,454,87%,276,83%,4%
weeks,343,66%,205,62%,4%
el,96,18%,47,14%,4%
hips,121,23%,63,19%,4%
tires,171,33%,95,29%,4%
stab,85,16%,40,12%,4%
peeling,110,21%,56,17%,4%
coughs,160,31%,88,27%,4%
loudly,235,45%,136,41%,4%
weapon,235,45%,136,41%,4%
ghetto,38,7%,10,3%,4%
silenced,63,12%,26,8%,4%
pot,213,41%,122,37%,4%
shelves,152,29%,83,25%,4%
opening,424,82%,257,77%,4%
silencer,41,8%,12,4%,4%
unsure,177,34%,99,30%,4%
draws,313,60%,186,56%,4%
breaths,116,22%,60,18%,4%
understandable,30,6%,5,2%,4%
roadside,80,15%,37,11%,4%
lied,130,25%,69,21%,4%
jukebox,44,8%,14,4%,4%
rundown,44,8%,14,4%,4%
doorman,69,13%,30,9%,4%
worth,341,66%,204,61%,4%
ashtray,94,18%,46,14%,4%
uncomfortable,280,54%,165,50%,4%
freaks,83,16%,39,12%,4%
firing,219,42%,126,38%,4%
bulb,108,21%,55,17%,4%
sullen,72,14%,32,10%,4%
lawyers,97,19%,48,14%,4%
pumping,122,24%,64,19%,4%
community,147,28%,80,24%,4%
superman,36,7%,9,3%,4%
jelly,61,12%,25,8%,4%
hustle,86,17%,41,12%,4%
rummages,86,17%,41,12%,4%
salesman,86,17%,41,12%,4%
enthusiasm,111,21%,57,17%,4%
limo,111,21%,57,17%,4%
recognize,272,52%,160,48%,4%
wondering,272,52%,160,48%,4%
faggots,25,5%,2,1%,4%
pornography,25,5%,2,1%,4%
slut,50,10%,18,5%,4%
catholic,75,14%,34,10%,4%
demeanor,100,19%,50,15%,4%
pads,89,17%,43,13%,4%
gangsters,28,5%,4,1%,4%
kept,300,58%,178,54%,4%
boxing,53,10%,20,6%,4%
canada,53,10%,20,6%,4%
shoe,189,36%,107,32%,4%
dogs,228,44%,132,40%,4%
darkness,364,70%,219,66%,4%
drunken,117,23%,61,18%,4%
fantasies,31,6%,6,2%,4%
niggers,31,6%,6,2%,4%
hamburger,56,11%,22,7%,4%
units,81,16%,38,11%,4%
connected,156,30%,86,26%,4%
classy,45,9%,15,5%,4%
dentist,45,9%,15,5%,4%
stained,181,35%,102,31%,4%
paranoid,95,18%,47,14%,4%
focuses,145,28%,79,24%,4%
hysterical,145,28%,79,24%,4%
registration,59,11%,24,7%,4%
clothing,195,38%,111,33%,4%
kicked,195,38%,111,33%,4%
collapses,270,52%,159,48%,4%
respect,270,52%,159,48%,4%
visible,270,52%,159,48%,4%
drifts,209,40%,120,36%,4%
giggling,123,24%,65,20%,4%
somehow,284,55%,168,51%,4%
topless,37,7%,10,3%,4%
boxer,62,12%,26,8%,4%
basic,87,17%,42,13%,4%
lobby,248,48%,145,44%,4%
credits,162,31%,90,27%,4%
grime,51,10%,19,6%,4%
ohio,51,10%,19,6%,4%
barefoot,65,13%,28,8%,4%
rib,65,13%,28,8%,4%
lot,498,96%,305,92%,4%
examiner,29,6%,5,2%,4%
offs,29,6%,5,2%,4%
bulging,79,15%,37,11%,4%
trailer,104,20%,53,16%,4%
favor,240,46%,140,42%,4%
bits,154,30%,85,26%,4%
hang,426,82%,259,78%,4%
plus,204,39%,117,35%,4%
whack,93,18%,46,14%,4%
flips,365,70%,220,66%,4%
besides,254,49%,149,45%,4%
corny,32,6%,7,2%,4%
stringy,32,6%,7,2%,4%
gallon,57,11%,23,7%,4%
waistband,57,11%,23,7%,4%
thanks,465,90%,284,86%,4%
slugs,82,16%,39,12%,4%
body,490,94%,300,90%,4%
justice,132,25%,71,21%,4%
coffee,404,78%,245,74%,4%
motionless,182,35%,103,31%,4%
carnage,71,14%,32,10%,4%
heavy,418,81%,254,77%,4%
latino,35,7%,9,3%,4%
slashing,60,12%,25,8%,4%
taunting,60,12%,25,8%,4%
threads,60,12%,25,8%,4%
sue,85,16%,41,12%,4%
coroner,49,9%,18,5%,4%
davis,49,9%,18,5%,4%
blurred,74,14%,34,10%,4%
absently,99,19%,50,15%,4%
physically,99,19%,50,15%,4%
supposed,421,81%,256,77%,4%
therapist,38,7%,11,3%,4%
unit,174,34%,98,30%,4%
six,471,91%,288,87%,4%
creepy,88,17%,43,13%,4%
variety,88,17%,43,13%,4%
curb,224,43%,130,39%,4%
draft,224,43%,130,39%,4%
grinding,113,22%,59,18%,4%
wraps,249,48%,146,44%,4%
bull,138,27%,75,23%,4%
kneeling,163,31%,91,27%,4%
paper,460,89%,281,85%,4%
creaking,77,15%,36,11%,4%
divorced,77,15%,36,11%,4%
weird,263,51%,155,47%,4%
stripper,41,8%,13,4%,4%
asian,91,18%,45,14%,4%
pickup,91,18%,45,14%,4%
douses,30,6%,6,2%,4%
vagina,30,6%,6,2%,4%
cheerfully,55,11%,22,7%,4%
gay,105,20%,54,16%,4%
smashed,155,30%,86,26%,4%
assed,44,8%,15,5%,4%
trunk,230,44%,134,40%,4%
ring,391,75%,237,71%,4%
imperceptible,33,6%,8,2%,4%
blue,441,85%,269,81%,4%
ish,58,11%,24,7%,4%
losers,58,11%,24,7%,4%
soundtrack,58,11%,24,7%,4%
stomping,58,11%,24,7%,4%
overcoat,83,16%,40,12%,4%
forcing,158,30%,88,27%,4%
gas,294,57%,175,53%,4%
askin,47,9%,17,5%,4%
erotic,47,9%,17,5%,4%
gruesome,47,9%,17,5%,4%
unarmed,47,9%,17,5%,4%
boston,72,14%,33,10%,4%
citizen,72,14%,33,10%,4%
drags,283,55%,168,51%,4%
telling,419,81%,255,77%,4%
coca,36,7%,10,3%,4%
sentences,36,7%,10,3%,4%
used,494,95%,303,91%,4%
bedroom,433,83%,264,80%,4%
mirror,433,83%,264,80%,4%
airport,186,36%,106,32%,4%
strip,186,36%,106,32%,4%
vague,75,14%,35,11%,4%
chicken,211,41%,122,37%,4%
dime,100,19%,51,15%,4%
motive,39,8%,12,4%,4%
strangle,39,8%,12,4%,4%
20s,64,12%,28,8%,4%
gray,200,39%,115,35%,4%
disease,89,17%,44,13%,4%
trial,114,22%,60,18%,4%
afterwards,78,15%,37,11%,4%
kicks,375,72%,227,68%,4%
films,67,13%,30,9%,4%
obsessed,67,13%,30,9%,4%
tortured,92,18%,46,14%,4%
laundry,142,27%,78,23%,4%
ashtrays,31,6%,7,2%,4%
shitload,31,6%,7,2%,4%
threw,167,32%,94,28%,4%
exclusive,56,11%,23,7%,4%
graffiti,56,11%,23,7%,4%
severely,56,11%,23,7%,4%
clenched,106,20%,55,17%,4%
cab,242,47%,142,43%,4%
school,403,78%,245,74%,4%
satan,45,9%,16,5%,4%
protruding,70,13%,32,10%,4%
puke,70,13%,32,10%,4%
unload,70,13%,32,10%,4%
bagged,34,7%,9,3%,4%
orderlies,34,7%,9,3%,4%
amount,170,33%,96,29%,4%
gloved,84,16%,41,12%,4%
honks,84,16%,41,12%,4%
subject,220,42%,128,39%,4%
shithole,23,4%,2,1%,4%
counselor,48,9%,18,5%,4%
grenades,48,9%,18,5%,4%
hike,48,9%,18,5%,4%
bruises,73,14%,34,10%,4%
vegas,73,14%,34,10%,4%
mid,345,66%,208,63%,4%
500,98,19%,50,15%,4%
liar,123,24%,66,20%,4%
mental,123,24%,66,20%,4%
cards,259,50%,153,46%,4%
headboard,37,7%,11,3%,4%
miami,62,12%,27,8%,4%
poor,334,64%,201,61%,4%
beaver,26,5%,4,1%,4%
bath,162,31%,91,27%,4%
counts,162,31%,91,27%,4%
doorway,434,84%,265,80%,4%
musta,51,10%,20,6%,4%
psychological,51,10%,20,6%,4%
dumpster,76,15%,36,11%,4%
honking,76,15%,36,11%,4%
pays,212,41%,123,37%,4%
store,348,67%,210,63%,4%
casual,151,29%,84,25%,4%
pathetic,151,29%,84,25%,4%
heavyset,40,8%,13,4%,4%
ease,176,34%,100,30%,4%
fishes,115,22%,61,18%,4%
armpit,29,6%,6,2%,4%
perverse,29,6%,6,2%,4%
sedated,29,6%,6,2%,4%
flow,165,32%,93,28%,4%
quarter,190,37%,109,33%,4%
gash,79,15%,38,11%,4%
ajar,104,20%,54,16%,4%
motor,154,30%,86,26%,4%
cabbie,43,8%,15,5%,4%
fingertips,93,18%,47,14%,4%
blaring,118,23%,63,19%,4%
guts,143,28%,79,24%,4%
discernible,32,6%,8,2%,4%
stacks,168,32%,95,29%,4%
caked,57,11%,24,7%,4%
bag,465,90%,285,86%,4%
possession,82,16%,40,12%,4%
talkin,107,21%,56,17%,4%
paces,268,52%,159,48%,4%
dildo,21,4%,1,0%,4%
tells,293,56%,175,53%,4%
nazi,46,9%,17,5%,4%
theatrical,46,9%,17,5%,4%
medical,207,40%,120,36%,4%
photograph,207,40%,120,36%,4%
sec,96,18%,49,15%,4%
piles,146,28%,81,24%,4%
frankie,35,7%,10,3%,4%
fires,332,64%,200,60%,4%
alike,85,16%,42,13%,4%
frames,85,16%,42,13%,4%
god,493,95%,303,91%,4%
flows,110,21%,58,17%,4%
barrels,135,26%,74,22%,4%
pleading,135,26%,74,22%,4%
shuffles,135,26%,74,22%,4%
names,271,52%,161,48%,4%
smokin,24,5%,3,1%,4%
respects,49,9%,19,6%,4%
warren,49,9%,19,6%,4%
cutting,321,62%,193,58%,4%
jury,74,14%,35,11%,4%
rug,99,19%,51,15%,4%
falling,371,71%,225,68%,4%
panicky,38,7%,12,4%,4%
flashlight,174,34%,99,30%,4%
bleed,88,17%,44,13%,4%
industrial,113,22%,60,18%,4%
pizza,113,22%,60,18%,4%
affair,102,20%,53,16%,4%
weeping,127,24%,69,21%,4%
unable,263,51%,156,47%,4%
stays,288,55%,172,52%,4%
boyish,41,8%,14,4%,4%
convenience,41,8%,14,4%,4%
lapels,41,8%,14,4%,4%
nylon,41,8%,14,4%,4%
occupant,41,8%,14,4%,4%
queer,41,8%,14,4%,4%
physical,177,34%,101,30%,4%
drink,449,87%,275,83%,4%
cu,66,13%,30,9%,4%
kill,474,91%,291,88%,4%
hustles,91,18%,46,14%,4%
carlos,30,6%,7,2%,4%
condoms,30,6%,7,2%,4%
felony,30,6%,7,2%,4%
confrontation,55,11%,23,7%,4%
las,55,11%,23,7%,4%
elbow,191,37%,110,33%,4%
empty,488,94%,300,90%,4%
slung,105,20%,55,17%,4%
reverse,241,46%,142,43%,4%
nasty,155,30%,87,26%,4%
hyperventilating,44,8%,16,5%,4%
goddammit,69,13%,32,10%,4%
leans,477,92%,293,88%,4%
connects,94,18%,48,14%,4%
cuff,94,18%,48,14%,4%
lovers,94,18%,48,14%,4%
grabbed,119,23%,64,19%,4%
terry,58,11%,25,8%,4%
dressing,194,37%,112,34%,4%
buddies,83,16%,41,12%,4%
thrust,108,21%,57,17%,4%
san,133,26%,73,22%,4%
relax,269,52%,160,48%,4%
playin,47,9%,18,5%,4%
slicked,47,9%,18,5%,4%
workshop,47,9%,18,5%,4%
unlocked,72,14%,34,10%,4%
pistol,208,40%,121,36%,4%
dies,258,50%,153,46%,4%
tightens,147,28%,82,25%,4%
bullhorn,36,7%,11,3%,4%
dumbly,36,7%,11,3%,4%
cuffed,61,12%,27,8%,4%
skinned,61,12%,27,8%,4%
strictly,61,12%,27,8%,4%
leaning,333,64%,201,61%,4%
contract,111,21%,59,18%,4%
150,136,26%,75,23%,4%
enforcement,50,10%,20,6%,4%
murders,50,10%,20,6%,4%
statements,50,10%,20,6%,4%
pin,186,36%,107,32%,4%
bureau,100,19%,52,16%,4%
pervert,39,8%,13,4%,4%
expect,311,60%,187,56%,4%
leaking,64,12%,29,9%,4%
blond,89,17%,45,14%,4%
exiting,114,22%,61,18%,4%
okay,436,84%,267,80%,4%
electric,189,36%,109,33%,4%
sexy,189,36%,109,33%,4%
glad,325,63%,196,59%,4%
carefully,375,72%,228,69%,4%
convicted,42,8%,15,5%,4%
hypodermic,42,8%,15,5%,4%
tapped,42,8%,15,5%,4%
tuna,42,8%,15,5%,4%
hell,475,92%,292,88%,4%
bugging,31,6%,8,2%,4%
drivin,31,6%,8,2%,4%
mag,31,6%,8,2%,4%
legs,439,85%,269,81%,4%
trickles,56,11%,24,7%,4%
calming,81,16%,40,12%,4%
irony,81,16%,40,12%,4%
murderer,81,16%,40,12%,4%
played,217,42%,127,38%,4%
blast,242,47%,143,43%,4%
type,292,56%,175,53%,4%
educated,45,9%,17,5%,4%
hello,453,87%,278,84%,4%
talks,342,66%,207,62%,4%
ten,478,92%,294,89%,4%
dumped,95,18%,49,15%,4%
media,95,18%,49,15%,4%
bundle,120,23%,65,20%,4%
cocktail,120,23%,65,20%,4%
spent,281,54%,168,51%,4%
amigo,34,7%,10,3%,4%
prostitutes,34,7%,10,3%,4%
washing,170,33%,97,29%,4%
florida,84,16%,42,13%,4%
hesitation,109,21%,58,17%,4%
foyer,134,26%,74,22%,4%
windows,406,78%,248,75%,4%
ahold,23,4%,3,1%,4%
sleeveless,23,4%,3,1%,4%
bodyguard,73,14%,35,11%,4%
cups,209,40%,122,37%,4%
hers,209,40%,122,37%,4%
slot,98,19%,51,15%,4%
rough,259,50%,154,46%,4%
scary,148,29%,83,25%,4%
currency,37,7%,12,4%,4%
woods,173,33%,99,30%,4%
american,309,60%,186,56%,4%
ambles,62,12%,28,8%,4%
filtered,62,12%,28,8%,4%
phony,62,12%,28,8%,4%
quivering,62,12%,28,8%,4%
plate,334,64%,202,61%,4%
patio,87,17%,44,13%,4%
packs,137,26%,76,23%,4%
information,273,53%,163,49%,4%
pornographic,26,5%,5,2%,4%
indicated,51,10%,21,6%,4%
polaroid,51,10%,21,6%,4%
prostitute,51,10%,21,6%,4%
stripping,51,10%,21,6%,4%
wiring,51,10%,21,6%,4%
truck,323,62%,195,59%,4%
glass,484,93%,298,90%,3%
creep,101,19%,53,16%,3%
kicking,237,46%,140,42%,3%
addict,40,8%,14,4%,3%
impaled,40,8%,14,4%,3%
uptight,40,8%,14,4%,3%
afford,176,34%,101,30%,3%
courthouse,65,13%,30,9%,3%
flipped,65,13%,30,9%,3%
minimum,65,13%,30,9%,3%
illuminate,90,17%,46,14%,3%
begging,115,22%,62,19%,3%
deeply,251,48%,149,45%,3%
draped,140,27%,78,23%,3%
blanks,29,6%,7,2%,3%
goddamit,29,6%,7,2%,3%
rings,437,84%,268,81%,3%
gagged,54,10%,23,7%,3%
violation,54,10%,23,7%,3%
veins,79,15%,39,12%,3%
cute,215,41%,126,38%,3%
tijuana,18,3%,0,0%,3%
victim,154,30%,87,26%,3%
educational,43,8%,16,5%,3%
caresses,68,13%,32,10%,3%
crawls,229,44%,135,41%,3%
kitchenette,32,6%,9,3%,3%
nipple,32,6%,9,3%,3%
record,304,59%,183,55%,3%
sympathetic,82,16%,41,12%,3%
dried,132,25%,73,22%,3%
especially,268,52%,160,48%,3%
anymore,404,78%,247,74%,3%
chickenshit,21,4%,2,1%,3%
consultant,21,4%,2,1%,3%
manslaughter,21,4%,2,1%,3%
unopened,46,9%,18,5%,3%
trade,182,35%,105,32%,3%
aisles,71,14%,34,10%,3%
haggard,71,14%,34,10%,3%
flush,96,18%,50,15%,3%
sergeant,121,23%,66,20%,3%
swollen,121,23%,66,20%,3%
130,146,28%,82,25%,3%
road,418,81%,256,77%,3%
revulsion,35,7%,11,3%,3%
scumbag,35,7%,11,3%,3%
mike,171,33%,98,30%,3%
democratic,24,5%,4,1%,3%
plugged,49,9%,20,6%,3%
entourage,74,14%,36,11%,3%
threaten,74,14%,36,11%,3%
trudges,74,14%,36,11%,3%
oblivious,210,40%,123,37%,3%
specific,99,19%,52,16%,3%
sick,371,71%,226,68%,3%
buries,124,24%,68,20%,3%
freak,149,29%,84,25%,3%
357,38,7%,13,4%,3%
fingering,38,7%,13,4%,3%
paste,38,7%,13,4%,3%
undress,63,12%,29,9%,3%
role,113,22%,61,18%,3%
holstered,27,5%,6,2%,3%
quart,27,5%,6,2%,3%
tourniquet,27,5%,6,2%,3%
nevertheless,52,10%,22,7%,3%
primary,52,10%,22,7%,3%
slaughter,52,10%,22,7%,3%
taxes,52,10%,22,7%,3%
lonely,213,41%,125,38%,3%
backed,127,24%,70,21%,3%
monday,127,24%,70,21%,3%
palms,127,24%,70,21%,3%
nobody,424,82%,260,78%,3%
investigator,41,8%,15,5%,3%
mesh,66,13%,31,9%,3%
restrain,66,13%,31,9%,3%
contempt,91,18%,47,14%,3%
dashboard,91,18%,47,14%,3%
awhile,116,22%,63,19%,3%
poised,116,22%,63,19%,3%
repeatedly,116,22%,63,19%,3%
ways,277,53%,166,50%,3%
dickhead,30,6%,8,2%,3%
groggily,55,11%,24,7%,3%
approaches,463,89%,285,86%,3%
bond,80,15%,40,12%,3%
warehouse,105,20%,56,17%,3%
respond,266,51%,159,48%,3%
tore,44,8%,17,5%,3%
st,180,35%,104,31%,3%
gee,94,18%,49,15%,3%
20th,33,6%,10,3%,3%
bums,33,6%,10,3%,3%
jake,33,6%,10,3%,3%
romeo,33,6%,10,3%,3%
sinatra,33,6%,10,3%,3%
zippo,33,6%,10,3%,3%
melted,58,11%,26,8%,3%
halfway,219,42%,129,39%,3%
charlie,108,21%,58,17%,3%
con,108,21%,58,17%,3%
chin,244,47%,145,44%,3%
crummy,22,4%,3,1%,3%
morally,22,4%,3,1%,3%
toke,22,4%,3,1%,3%
abdomen,47,9%,19,6%,3%
lou,47,9%,19,6%,3%
slits,47,9%,19,6%,3%
therapy,72,14%,35,11%,3%
helped,208,40%,122,37%,3%
dallas,36,7%,12,4%,3%
seizure,36,7%,12,4%,3%
grainy,61,12%,28,8%,3%
days,469,90%,289,87%,3%
corner,494,95%,305,92%,3%
crumpled,136,26%,76,23%,3%
animal,272,52%,163,49%,3%
vietnamese,25,5%,5,2%,3%
associates,50,10%,21,6%,3%
averts,50,10%,21,6%,3%
fatigue,50,10%,21,6%,3%
silently,322,62%,195,59%,3%
thighs,75,14%,37,11%,3%
jimmy,100,19%,53,16%,3%
swigs,39,8%,14,4%,3%
tequila,39,8%,14,4%,3%
911,64,12%,30,9%,3%
culture,64,12%,30,9%,3%
vanity,64,12%,30,9%,3%
silence,472,91%,291,88%,3%
doc,89,17%,46,14%,3%
july,89,17%,46,14%,3%
production,89,17%,46,14%,3%
definitely,250,48%,149,45%,3%
detritus,28,5%,7,2%,3%
featured,28,5%,7,2%,3%
obnoxious,28,5%,7,2%,3%
probation,28,5%,7,2%,3%
busting,53,10%,23,7%,3%
compact,53,10%,23,7%,3%
favors,53,10%,23,7%,3%
howard,53,10%,23,7%,3%
taping,53,10%,23,7%,3%
trauma,53,10%,23,7%,3%
marker,78,15%,39,12%,3%
witnesses,103,20%,55,17%,3%
incredulous,128,25%,71,21%,3%
stretched,128,25%,71,21%,3%
yanks,264,51%,158,48%,3%
uncaps,17,3%,0,0%,3%
aids,42,8%,16,5%,3%
beefy,42,8%,16,5%,3%
caller,67,13%,32,10%,3%
hack,67,13%,32,10%,3%
rented,67,13%,32,10%,3%
sayin,67,13%,32,10%,3%
ash,92,18%,48,14%,3%
lights,500,96%,309,93%,3%
ankles,117,23%,64,19%,3%
lie,389,75%,238,72%,3%
swerves,142,27%,80,24%,3%
happens,414,80%,254,77%,3%
cindy,31,6%,9,3%,3%
forensics,31,6%,9,3%,3%
pantomimes,31,6%,9,3%,3%
punctuated,31,6%,9,3%,3%
stairwell,167,32%,96,29%,3%
doorknob,81,16%,41,12%,3%
wig,81,16%,41,12%,3%
locked,378,73%,231,70%,3%
beretta,20,4%,2,1%,3%
bushy,20,4%,2,1%,3%
motherfuckin,20,4%,2,1%,3%
sweatpants,20,4%,2,1%,3%
andrew,45,9%,18,5%,3%
blacks,45,9%,18,5%,3%
mart,45,9%,18,5%,3%
games,181,35%,105,32%,3%
overweight,70,13%,34,10%,3%
aiming,120,23%,66,20%,3%
moaning,120,23%,66,20%,3%
obligation,34,7%,11,3%,3%
unmade,34,7%,11,3%,3%
least,442,85%,272,82%,3%
questions,331,64%,201,61%,3%
playing,467,90%,288,87%,3%
pinning,84,16%,43,13%,3%
rapid,134,26%,75,23%,3%
clacking,23,4%,4,1%,3%
implements,23,4%,4,1%,3%
manson,23,4%,4,1%,3%
superiors,23,4%,4,1%,3%
introduced,73,14%,36,11%,3%
calm,395,76%,242,73%,3%
town,395,76%,242,73%,3%
inmates,37,7%,13,4%,3%
interstate,37,7%,13,4%,3%
shitting,37,7%,13,4%,3%
suspects,62,12%,29,9%,3%
tank,198,38%,116,35%,3%
thinking,470,91%,290,87%,3%
antique,87,17%,45,14%,3%
compared,87,17%,45,14%,3%
hatred,87,17%,45,14%,3%
littered,87,17%,45,14%,3%
fix,248,48%,148,45%,3%
cardboard,137,26%,77,23%,3%
glove,137,26%,77,23%,3%
baggie,26,5%,6,2%,3%
mower,26,5%,6,2%,3%
samuel,26,5%,6,2%,3%
lunch,298,57%,180,54%,3%
fade,434,84%,267,80%,3%
crouching,76,15%,38,11%,3%
retrieves,101,19%,54,16%,3%
murderers,40,8%,15,5%,3%
peep,40,8%,15,5%,3%
office,448,86%,276,83%,3%
living,473,91%,292,88%,3%
discarded,90,17%,47,14%,3%
baking,29,6%,8,2%,3%
psyche,29,6%,8,2%,3%
shouldered,29,6%,8,2%,3%
edge,437,84%,269,81%,3%
died,351,68%,214,64%,3%
blindly,104,20%,56,17%,3%
hannibal,18,3%,1,0%,3%
cord,154,30%,88,27%,3%
ambulances,43,8%,17,5%,3%
cocktails,43,8%,17,5%,3%
retarded,43,8%,17,5%,3%
somewhat,179,34%,104,31%,3%
service,315,61%,191,58%,3%
bulge,68,13%,33,10%,3%
nick,68,13%,33,10%,3%
potato,68,13%,33,10%,3%
consciousness,118,23%,65,20%,3%
tighter,118,23%,65,20%,3%
divider,32,6%,10,3%,3%
identifying,32,6%,10,3%,3%
ooze,32,6%,10,3%,3%
psychiatric,32,6%,10,3%,3%
reclines,32,6%,10,3%,3%
strobing,32,6%,10,3%,3%
depressing,57,11%,26,8%,3%
wreck,132,25%,74,22%,3%
damn,404,78%,248,75%,3%
amateurs,21,4%,3,1%,3%
kilos,21,4%,3,1%,3%
digging,157,30%,90,27%,3%
planning,157,30%,90,27%,3%
stocking,46,9%,19,6%,3%
tanned,46,9%,19,6%,3%
facing,318,61%,193,58%,3%
minute,454,87%,280,84%,3%
wants,479,92%,296,89%,3%
value,121,23%,67,20%,3%
wherever,146,28%,83,25%,3%
combed,35,7%,12,4%,3%
injects,35,7%,12,4%,3%
envelopes,60,12%,28,8%,3%
producer,60,12%,28,8%,3%
daddy,221,43%,131,39%,3%
hair,493,95%,305,92%,3%
lemme,110,21%,60,18%,3%
crawford,24,5%,5,2%,3%
homo,24,5%,5,2%,3%
masturbating,24,5%,5,2%,3%
slumping,24,5%,5,2%,3%
either,457,88%,282,85%,3%
apparent,99,19%,53,16%,3%
sittin,38,7%,14,4%,3%
wolves,38,7%,14,4%,3%
climax,63,12%,30,9%,3%
reasonable,88,17%,46,14%,3%
blasting,138,27%,78,23%,3%
bedspread,27,5%,7,2%,3%
debbie,27,5%,7,2%,3%
pontiac,27,5%,7,2%,3%
apologize,163,31%,94,28%,3%
screeches,163,31%,94,28%,3%
ann,52,10%,23,7%,3%
lung,52,10%,23,7%,3%
burned,188,36%,110,33%,3%
groin,77,15%,39,12%,3%
larry,77,15%,39,12%,3%
polish,77,15%,39,12%,3%
texas,77,15%,39,12%,3%
nipples,41,8%,16,5%,3%
os,41,8%,16,5%,3%
tolerate,41,8%,16,5%,3%
glance,313,60%,190,57%,3%
balding,66,13%,32,10%,3%
straight,474,91%,293,88%,3%
crisp,91,18%,48,14%,3%
drowning,91,18%,48,14%,3%
terrific,116,22%,64,19%,3%
director,141,27%,80,24%,3%
clientele,30,6%,9,3%,3%
stickers,30,6%,9,3%,3%
broadway,55,11%,25,8%,3%
crank,55,11%,25,8%,3%
naw,55,11%,25,8%,3%
brothers,191,37%,112,34%,3%
sucker,80,15%,41,12%,3%
convince,105,20%,57,17%,3%
groups,130,25%,73,22%,3%
michael,130,25%,73,22%,3%
pipes,130,25%,73,22%,3%
friday,155,30%,89,27%,3%
yard,291,56%,176,53%,3%
fiction,44,8%,18,5%,3%
maintains,44,8%,18,5%,3%
threats,44,8%,18,5%,3%
cereal,69,13%,34,10%,3%
lanes,69,13%,34,10%,3%
sam,94,18%,50,15%,3%
tattoo,94,18%,50,15%,3%
clips,119,23%,66,20%,3%
carrot,33,6%,11,3%,3%
concentrated,33,6%,11,3%,3%
cuz,33,6%,11,3%,3%
hospitals,33,6%,11,3%,3%
raymond,33,6%,11,3%,3%
gaunt,58,11%,27,8%,3%
handled,83,16%,43,13%,3%
notebook,133,26%,75,23%,3%
sprays,133,26%,75,23%,3%
preppy,22,4%,4,1%,3%
taxicab,22,4%,4,1%,3%
tu,22,4%,4,1%,3%
wept,22,4%,4,1%,3%
shirts,158,30%,91,27%,3%
squatting,47,9%,20,6%,3%
stud,47,9%,20,6%,3%
sold,183,35%,107,32%,3%
del,36,7%,13,4%,3%
nostril,36,7%,13,4%,3%
snowing,36,7%,13,4%,3%
toyota,36,7%,13,4%,3%
award,61,12%,29,9%,3%
finished,358,69%,219,66%,3%
chews,111,21%,61,18%,3%
5,383,74%,235,71%,3%
missed,272,52%,164,49%,3%
baptist,25,5%,6,2%,3%
horseshit,25,5%,6,2%,3%
jugular,25,5%,6,2%,3%
sexuality,25,5%,6,2%,3%
mom,297,57%,180,54%,3%
monica,50,10%,22,7%,3%
fours,75,14%,38,11%,3%
shards,75,14%,38,11%,3%
unshaven,75,14%,38,11%,3%
expecting,236,45%,141,42%,3%
winding,125,24%,70,21%,3%
blah,39,8%,15,5%,3%
bonfire,39,8%,15,5%,3%
givin,39,8%,15,5%,3%
sexually,39,8%,15,5%,3%
scrawled,64,12%,31,9%,3%
nice,472,91%,292,88%,3%
writhing,89,17%,47,14%,3%
stabs,114,22%,63,19%,3%
chills,28,5%,8,2%,3%
rangers,28,5%,8,2%,3%
saucers,28,5%,8,2%,3%
senor,28,5%,8,2%,3%
pound,189,36%,111,33%,3%
aunt,78,15%,40,12%,3%
shoot,375,72%,230,69%,3%
avenue,128,25%,72,22%,3%
browning,17,3%,1,0%,3%
coked,17,3%,1,0%,3%
fags,17,3%,1,0%,3%
fetish,17,3%,1,0%,3%
jacks,42,8%,17,5%,3%
plaid,42,8%,17,5%,3%
wallpaper,42,8%,17,5%,3%
blackened,67,13%,33,10%,3%
generally,67,13%,33,10%,3%
rental,67,13%,33,10%,3%
surveys,142,27%,81,24%,3%
intermittently,31,6%,10,3%,3%
madonna,31,6%,10,3%,3%
steamed,31,6%,10,3%,3%
stucco,31,6%,10,3%,3%
crimson,56,11%,26,8%,3%
freely,56,11%,26,8%,3%
handshake,56,11%,26,8%,3%
porcelain,56,11%,26,8%,3%
haired,192,37%,113,34%,3%
patients,81,16%,42,13%,3%
tuxedo,81,16%,42,13%,3%
acting,217,42%,129,39%,3%
arms,489,94%,303,91%,3%
fluid,106,20%,58,17%,3%
abusive,20,4%,3,1%,3%
accountants,20,4%,3,1%,3%
cooperating,20,4%,3,1%,3%
