Word,appearsInR,In R,appearsInPG,In PG,Difference
sickened,50,10%,15,5%,5%
average,100,19%,47,14%,5%
dispatcher,39,8%,8,2%,5%
pro,114,22%,56,17%,5%
heaves,139,27%,72,22%,5%
wore,103,20%,49,15%,5%
knees,400,77%,239,72%,5%
four,500,96%,303,91%,5%
liquor,131,25%,67,20%,5%
gotten,267,51%,154,46%,5%
hitting,292,56%,170,51%,5%
trash,231,45%,131,39%,5%
shotguns,59,11%,21,6%,5%
whores,59,11%,21,6%,5%
inhales,84,16%,37,11%,5%
telephone,245,47%,140,42%,5%
broad,159,31%,85,26%,5%
coupla,37,7%,7,2%,5%
handgun,62,12%,23,7%,5%
hooker,62,12%,23,7%,5%
mouthful,62,12%,23,7%,5%
freeway,87,17%,39,12%,5%
assault,137,26%,71,21%,5%
harsh,137,26%,71,21%,5%
pump,137,26%,71,21%,5%
detectives,76,15%,32,10%,5%
garbage,212,41%,119,36%,5%
cemetery,101,19%,48,14%,5%
stain,101,19%,48,14%,5%
finish,373,72%,222,67%,5%
gimme,151,29%,80,24%,5%
patient,176,34%,96,29%,5%
hurt,448,86%,270,81%,5%
punching,129,25%,66,20%,5%
purple,154,30%,82,25%,5%
orgasm,43,8%,11,3%,5%
downtown,179,34%,98,30%,5%
autopsy,46,9%,13,4%,5%
restrained,46,9%,13,4%,5%
streetlight,46,9%,13,4%,5%
gasoline,71,14%,29,9%,5%
bloodstained,35,7%,6,2%,5%
bother,246,47%,141,42%,5%
strobe,49,9%,15,5%,5%
fifty,371,71%,221,67%,5%
makin,63,12%,24,7%,5%
prescription,63,12%,24,7%,5%
cancer,88,17%,40,12%,5%
pockets,299,58%,175,53%,5%
testify,52,10%,17,5%,5%
photos,238,46%,136,41%,5%
hated,127,24%,65,20%,5%
legal,152,29%,81,24%,5%
forensic,41,8%,10,3%,5%
puerto,41,8%,10,3%,5%
bleeds,66,13%,26,8%,5%
straddles,66,13%,26,8%,5%
testimony,55,11%,19,6%,5%
ben,80,15%,35,11%,5%
shoulda,80,15%,35,11%,5%
reload,44,8%,12,4%,5%
tab,44,8%,12,4%,5%
version,205,39%,115,35%,5%
slapping,119,23%,60,18%,5%
jacket,391,75%,234,70%,5%
clubs,108,21%,53,16%,5%
suspect,133,26%,69,21%,5%
daytime,47,9%,14,4%,5%
horny,47,9%,14,4%,5%
business,455,88%,275,83%,5%
idling,72,14%,30,9%,5%
amused,208,40%,117,35%,5%
cabinet,208,40%,117,35%,5%
started,419,81%,252,76%,5%
homosexual,36,7%,7,2%,5%
motherfucking,36,7%,7,2%,5%
rooms,247,48%,142,43%,5%
fading,136,26%,71,21%,5%
uniformed,161,31%,87,26%,5%
wear,347,67%,206,62%,5%
buck,100,19%,48,14%,5%
messy,100,19%,48,14%,5%
blouse,125,24%,64,19%,5%
georgia,39,8%,9,3%,5%
lane,175,34%,96,29%,5%
shorts,164,32%,89,27%,5%
spread,300,58%,176,53%,5%
though,461,89%,279,84%,5%
mirrors,103,20%,50,15%,5%
visiting,103,20%,50,15%,5%
feds,42,8%,11,3%,5%
credit,203,39%,114,34%,5%
folds,203,39%,114,34%,5%
spoon,117,23%,59,18%,5%
narcotics,31,6%,4,1%,5%
connections,56,11%,20,6%,5%
billy,106,20%,52,16%,5%
irritated,131,25%,68,20%,5%
fag,45,9%,13,4%,5%
stalling,45,9%,13,4%,5%
urinal,45,9%,13,4%,5%
hey,478,92%,290,87%,5%
pee,95,18%,45,14%,5%
hadn,231,45%,132,40%,5%
calmly,256,49%,148,45%,5%
shithead,34,7%,6,2%,5%
cellar,59,11%,22,7%,5%
holsters,59,11%,22,7%,5%
stubs,59,11%,22,7%,5%
sticks,356,69%,212,64%,5%
magnum,48,9%,15,5%,5%
tryin,73,14%,31,9%,5%
grocery,98,19%,47,14%,5%
wondered,98,19%,47,14%,5%
attractive,234,45%,134,40%,5%
violently,234,45%,134,40%,5%
hours,420,81%,253,76%,5%
distantly,37,7%,8,2%,5%
injection,37,7%,8,2%,5%
quotes,37,7%,8,2%,5%
philosophy,62,12%,24,7%,5%
intercut,223,43%,127,38%,5%
numbers,273,53%,159,48%,5%
screwing,76,15%,33,10%,5%
mess,348,67%,207,62%,5%
clicking,115,22%,58,17%,5%
pictures,301,58%,177,53%,5%
ivy,54,10%,19,6%,5%
illegal,104,20%,51,15%,5%
disgust,179,34%,99,30%,5%
pay,451,87%,273,82%,5%
booths,68,13%,28,8%,5%
track,329,63%,195,59%,5%
unlock,82,16%,37,11%,5%
calf,46,9%,14,4%,5%
apartments,71,14%,30,9%,5%
lo,71,14%,30,9%,5%
shoved,96,18%,46,14%,5%
inn,60,12%,23,7%,5%
furnished,85,16%,39,12%,5%
boom,221,43%,126,38%,5%
freezing,110,21%,55,17%,5%
bedside,135,26%,71,21%,5%
crams,24,5%,0,0%,5%
pov,321,62%,190,57%,5%
entertainment,74,14%,32,10%,5%
pumps,149,29%,80,24%,5%
gloves,174,34%,96,29%,5%
manila,63,12%,25,8%,5%
momentarily,199,38%,112,34%,5%
tapes,113,22%,57,17%,5%
funeral,163,31%,89,27%,5%
riddled,52,10%,18,5%,5%
satchel,52,10%,18,5%,5%
mug,127,24%,66,20%,5%
collapsing,66,13%,27,8%,5%
ducking,91,18%,43,13%,5%
shops,91,18%,43,13%,5%
smeared,91,18%,43,13%,5%
drains,116,22%,59,18%,5%
ford,116,22%,59,18%,5%
lies,438,84%,265,80%,5%
oozing,55,11%,20,6%,5%
cradling,80,15%,36,11%,5%
gross,80,15%,36,11%,5%
damned,130,25%,68,20%,5%
relaxed,130,25%,68,20%,5%
apt,44,8%,13,4%,5%
chevy,69,13%,29,9%,5%
fbi,94,18%,45,14%,5%
agony,169,33%,93,28%,5%
nurse,194,37%,109,33%,5%
moral,83,16%,38,11%,5%
junkie,47,9%,15,5%,5%
psychic,47,9%,15,5%,5%
stocky,47,9%,15,5%,5%
shirt,455,88%,276,83%,5%
boulevard,72,14%,31,9%,5%
whiskey,122,24%,63,19%,5%
booze,86,17%,40,12%,5%
corpses,86,17%,40,12%,5%
tile,86,17%,40,12%,5%
jealous,136,26%,72,22%,5%
creek,50,10%,17,5%,5%
sawed,50,10%,17,5%,5%
smear,50,10%,17,5%,5%
